City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,moanda,-1.5575,13.2178,72.77,81,19,2.75,GA,2023-02-09 00:08:45
157,hobyo,5.3505,48.5268,75.51,87,3,12.3,SO,2023-02-09 00:08:45
158,ucluelet,48.9329,-125.5528,43.21,86,100,13.35,CA,2023-02-09 00:08:45
159,makakilo city,21.3469,-158.0858,82.72,52,20,31.07,US,2023-02-09 00:08:45
160,ribeira grande,38.5167,-28.7,55.78,73,61,5.01,PT,2023-02-09 00:08:46
161,joaima,-16.6542,-41.0306,72.63,72,18,1.83,BR,2023-02-09 00:08:46
162,kavieng,-2.5744,150.7967,82.96,73,89,5.68,PG,2023-02-09 00:08:46
163,sisimiut,66.9395,-53.6735,-0.76,78,94,7.05,GL,2023-02-09 00:08:47
164,vardo,70.3705,31.1107,37.38,75,100,42.57,NO,2023-02-09 00:08:47
165,yamada,39.4667,141.95,31.39,51,18,16.08,JP,2023-02-09 00:08:47
166,karata,42.5949,46.3393,16.38,91,100,2.98,RU,2023-02-09 00:08:48
167,mar del plata,-38.0023,-57.5575,72.09,86,0,4.0,AR,2023-02-09 00:08:48
168,gorin,51.1983,136.6669,-18.78,98,93,0.38,RU,2023-02-09 00:08:48
169,bethel,41.3712,-73.414,44.96,62,0,4.61,US,2023-02-09 00:04:13
170,manokwari,-0.8667,134.0833,76.46,88,100,10.89,ID,2023-02-09 00:08:49
171,port elizabeth,-33.918,25.5701,69.31,92,100,5.01,ZA,2023-02-09 00:08:49
172,grand gaube,-20.0064,57.6608,79.38,78,14,5.01,MU,2023-02-09 00:08:49
173,lichinga,-13.3128,35.2406,60.37,92,90,3.18,MZ,2023-02-09 00:08:50
174,lebu,-37.6167,-73.65,60.58,90,2,10.07,CL,2023-02-09 00:08:50
175,sweetwater,25.7634,-80.3731,75.22,68,20,15.01,US,2023-02-09 00:08:50
176,tuatapere,-46.1333,167.6833,53.8,66,89,10.94,NZ,2023-02-09 00:08:50
177,roald,62.5833,6.1333,38.75,100,100,13.8,NO,2023-02-09 00:08:51
178,cidreira,-30.1811,-50.2056,76.48,82,1,18.88,BR,2023-02-09 00:08:51
179,itacare,-14.2775,-38.9967,78.73,77,3,9.42,BR,2023-02-09 00:08:51
180,vuktyl,63.8567,57.3094,26.08,85,95,14.83,RU,2023-02-09 00:08:52
181,westport,41.1415,-73.3579,47.17,59,0,3.44,US,2023-02-09 00:06:33
182,namibe,-15.1961,12.1522,70.29,74,100,8.16,AO,2023-02-09 00:08:52
183,ambunti,-4.2365,142.8448,74.21,99,100,0.87,PG,2023-02-09 00:08:52
184,taksimo,56.3444,114.8794,-10.71,91,99,0.6,RU,2023-02-09 00:08:53
185,cape town,-33.9258,18.4232,71.91,66,0,13.0,ZA,2023-02-09 00:05:00
186,soyo,-6.1349,12.3689,79.05,83,38,8.63,AO,2023-02-09 00:08:53
187,vila,42.0304,-8.1588,43.68,75,0,4.76,PT,2023-02-09 00:08:53
188,daru,-9.0763,143.2092,81.03,79,99,14.14,PG,2023-02-09 00:08:54
189,ewa beach,21.3156,-158.0072,82.35,54,20,13.8,US,2023-02-09 00:05:03
190,lahij,13.1667,44.5833,70.32,75,3,2.35,YE,2023-02-09 00:08:54
191,zhanakorgan,43.9098,67.2495,28.87,80,70,11.61,KZ,2023-02-09 00:08:54
192,atambua,-9.1061,124.8925,76.1,88,99,4.14,ID,2023-02-09 00:08:54
193,ancud,-41.8697,-73.8203,60.22,92,13,6.15,CL,2023-02-09 00:08:55
194,kanepi,57.982,26.7627,32.92,91,100,11.14,EE,2023-02-09 00:08:55
195,victoria falls,-17.9235,25.843,66.69,87,52,1.36,ZW,2023-02-09 00:08:55
196,maceio,-9.6658,-35.7353,79.38,75,100,10.56,BR,2023-02-09 00:08:56
197,asau,46.4333,26.4,7.72,94,30,4.74,RO,2023-02-09 00:08:56
198,santa cruz,-17.8,-63.1667,80.06,78,75,6.91,BO,2023-02-09 00:06:42
199,palmer,42.1584,-72.3287,42.17,56,20,5.75,US,2023-02-09 00:08:56
200,sibolga,1.7427,98.7792,75.94,80,100,3.56,ID,2023-02-09 00:08:57
201,plaster rock,46.9065,-67.39,23.52,78,58,10.94,CA,2023-02-09 00:08:57
202,cabinda,-5.55,12.2,78.85,87,34,6.98,AO,2023-02-09 00:08:57
203,half moon bay,37.4636,-122.4286,67.91,58,20,6.91,US,2023-02-09 00:08:57
204,poltava,49.5937,34.5407,14.29,93,6,4.7,UA,2023-02-09 00:08:58
205,katherine,-14.4667,132.2667,86.32,74,75,9.22,AU,2023-02-09 00:08:58
206,rorvik,64.8621,11.2373,44.71,61,40,16.11,NO,2023-02-09 00:08:58
207,zhoucheng,35.9122,116.3117,38.17,68,99,7.0,CN,2023-02-09 00:08:58
208,gizo,-8.103,156.8419,84.07,73,99,11.77,SB,2023-02-09 00:08:59
209,saint-philippe,-21.3585,55.7679,74.79,84,83,12.19,RE,2023-02-09 00:08:59
210,juneau,58.3019,-134.4197,37.22,94,100,9.22,US,2023-02-09 00:05:59
211,barrow,71.2906,-156.7887,-5.78,77,100,5.75,US,2023-02-09 00:08:06
212,pevek,69.7008,170.3133,-30.05,100,100,7.65,RU,2023-02-09 00:09:00
213,gamba,-2.65,10.0,78.19,89,86,6.91,GA,2023-02-09 00:09:00
214,ouesso,1.6136,16.0517,71.78,37,2,1.97,CG,2023-02-09 00:09:00
215,fayaoue,-20.65,166.5333,81.81,78,100,10.16,NC,2023-02-09 00:06:23
216,salalah,17.0151,54.0924,69.89,73,0,2.3,OM,2023-02-09 00:09:00
217,phillipsburg,40.6937,-75.1902,46.74,59,56,1.01,US,2023-02-09 00:09:01
218,bac lieu,9.285,105.7244,77.38,86,26,14.09,VN,2023-02-09 00:09:01
219,kahului,20.8947,-156.47,78.96,64,40,23.02,US,2023-02-09 00:09:01
220,saint-pierre,-21.3393,55.4781,74.88,64,0,5.75,RE,2023-02-09 00:09:02
221,banff,51.1762,-115.5698,23.59,85,74,5.12,CA,2023-02-09 00:09:03
222,pokhara,28.2333,83.9833,54.01,46,57,4.76,NP,2023-02-09 00:09:03
223,tommot,58.9564,126.2925,-22.27,100,100,0.89,RU,2023-02-09 00:09:04
224,kantorjanosi,47.9333,22.15,21.15,88,4,4.12,HU,2023-02-09 00:09:04
225,polis,35.0367,32.4264,37.22,57,3,0.89,CY,2023-02-09 00:09:04
226,paamiut,61.994,-49.6678,27.09,91,100,29.97,GL,2023-02-09 00:09:05
227,mezhdurechensk,53.6942,88.0603,7.36,98,100,0.89,RU,2023-02-09 00:09:05
228,nanakuli,21.3906,-158.1547,84.15,42,20,13.8,US,2023-02-09 00:09:06
229,guines,50.8671,1.8703,33.89,58,11,8.23,FR,2023-02-09 00:09:06
